Q=[
[ 284.000000,	9.000000,	26.000000,	14.000000,	37.000000,	]
[ 96.000000,	2.000000,	8.000000,	3.000000,	14.000000,	]
[ 82.000000,	2.000000,	11.000000,	3.000000,	9.000000,	]
[ 130.000000,	2.000000,	8.000000,	3.000000,	13.000000,	]
[ 136.000000,	5.000000,	8.000000,	6.000000,	23.000000,	]
[ 186.000000,	9.000000,	19.000000,	15.000000,	28.000000,	]
[ 96.000000,	2.000000,	20.000000,	3.000000,	11.000000,	]
[ 86.000000,	2.000000,	8.000000,	3.000000,	12.000000,	]
[ 144.000000,	8.000000,	9.000000,	4.000000,	12.000000,	]
[ 108.000000,	2.000000,	14.000000,	3.000000,	13.000000,	]
[ 213.000000,	4.000000,	12.000000,	7.000000,	17.000000,	]
[ 107.000000,	5.000000,	11.000000,	7.000000,	32.000000,	]
[ 90.000000,	5.000000,	8.000000,	3.000000,	11.000000,	]
[ 159.000000,	6.000000,	28.000000,	7.000000,	17.000000,	]
[ 86.000000,	4.000000,	8.000000,	3.000000,	12.000000,	]
[ 198.000000,	10.000000,	10.000000,	7.000000,	22.000000,	]
[ 85.000000,	2.000000,	8.000000,	3.000000,	9.000000,	]
[ 96.000000,	2.000000,	12.000000,	3.000000,	11.000000,	]
[ 102.000000,	6.000000,	8.000000,	3.000000,	17.000000,	]
[ 121.000000,	2.000000,	12.000000,	3.000000,	9.000000,	]
[ 137.000000,	2.000000,	16.000000,	3.000000,	19.000000,	]
[ 113.000000,	6.000000,	16.000000,	7.000000,	23.000000,	]
[ 98.000000,	2.000000,	11.000000,	3.000000,	23.000000,	]
[ 96.000000,	5.000000,	8.000000,	3.000000,	13.000000,	]
[ 84.000000,	5.000000,	8.000000,	3.000000,	9.000000,	]
[ 105.000000,	2.000000,	18.000000,	6.000000,	17.000000,	]
[ 81.000000,	2.000000,	8.000000,	7.000000,	12.000000,	]
[ 91.000000,	2.000000,	11.000000,	3.000000,	12.000000,	]
[ 83.000000,	2.000000,	8.000000,	3.000000,	9.000000,	]
[ 83.000000,	4.000000,	8.000000,	3.000000,	12.000000,	]
];








D=[
[ 0.000000,	728.150269,	1627.380249,	1801.045532,	1220.888794,	462.178101,	2169.624756,	2199.841064,	1537.522949,	2178.081787,	1729.165405,	1299.188232,	1091.440308,	2101.436035,	2221.579346,	1398.265747,	2270.442139,	739.531799,	1530.286133,	1475.097290,	1640.665894,	754.293457,	1296.030884,	1954.239624,	1539.248535,	1289.810303,	728.150269,	1283.844482,	2114.035645,	788.480286,	]
[ 728.150269,	0.000000,	2049.903076,	2250.923584,	704.782959,	294.518921,	2571.170898,	2610.596436,	2119.501465,	2609.004150,	2299.028809,	1586.057007,	521.355957,	2546.966553,	2650.363037,	1941.698975,	2680.442871,	96.468300,	2110.094727,	1971.913696,	2048.091064,	59.527020,	1583.811401,	2426.395264,	2122.070312,	1568.807129,	0.000000,	1569.787109,	2555.820068,	1477.160645,	]
[ 1627.380249,	2049.903076,	0.000000,	208.546082,	1925.038940,	1948.671265,	542.395996,	574.364868,	536.863159,	561.800659,	542.228638,	526.150146,	1971.056152,	497.075653,	604.269958,	412.176788,	645.248352,	1984.833862,	527.392578,	253.593918,	44.964214,	2027.895996,	526.725952,	392.238068,	540.467896,	547.496887,	2049.903076,	538.966431,	506.028137,	1107.288940,	]
[ 1801.045532,	2250.923584,	208.546082,	0.000000,	2132.908203,	2140.175537,	387.160431,	407.507904,	516.264893,	377.364532,	446.583740,	733.001465,	2179.586182,	301.573975,	420.930237,	475.354218,	476.014709,	2187.709473,	510.433533,	341.710632,	227.196747,	2230.357910,	733.716370,	183.841660,	518.917725,	754.266907,	2250.923584,	746.214539,	313.347565,	1220.381104,	]
[ 1220.888794,	704.782959,	1925.038940,	2132.908203,	0.000000,	941.791321,	2370.385498,	2416.501953,	2176.712891,	2437.079346,	2322.649170,	1400.433228,	187.983170,	2396.403809,	2472.818115,	1969.363647,	2480.084717,	617.946411,	2165.329834,	1940.102539,	1907.270874,	645.353760,	1399.577393,	2316.710205,	2180.167725,	1379.308838,	704.782959,	1386.873901,	2400.315430,	1771.116211,	]
[ 462.178101,	294.518921,	1948.671265,	2140.175537,	941.791321,	0.000000,	2485.074219,	2520.786865,	1946.152466,	2510.194336,	2132.978760,	1532.412109,	772.599915,	2441.061035,	2552.860596,	1785.002197,	2591.572998,	343.842346,	1937.734131,	1836.835815,	1953.374512,	338.531097,	1529.728638,	2307.372070,	1948.327271,	1517.894531,	294.518921,	1516.055908,	2451.677246,	1242.514893,	]
[ 2169.624756,	2571.170898,	542.395996,	387.160431,	2370.385498,	2485.074219,	0.000000,	48.994251,	867.021484,	112.371353,	740.963196,	995.324829,	2441.556152,	170.380157,	122.064346,	860.116150,	110.636543,	2501.017334,	863.891418,	728.508850,	532.577881,	2545.215576,	997.089844,	317.742310,	868.858887,	1014.636475,	2571.170898,	1010.986389,	154.099609,	1607.405273,	]
[ 2199.841064,	2610.596436,	574.364868,	407.507904,	2416.501953,	2520.786865,	48.994251,	0.000000,	870.349854,	77.249931,	735.497131,	1038.007202,	2486.273438,	154.503647,	75.372643,	875.303711,	70.898819,	2541.240967,	867.883240,	748.991455,	567.412598,	2585.282471,	1039.702637,	315.676025,	871.982849,	1057.530151,	2610.596436,	1053.548584,	136.775894,	1624.745483,	]
[ 1537.522949,	2119.501465,	536.863159,	516.264893,	2176.712891,	1946.152466,	867.021484,	870.349854,	0.000000,	812.411560,	193.464188,	898.181152,	2176.718506,	723.047852,	851.160095,	212.378799,	926.959106,	2075.844971,	12.014615,	315.557465,	581.798279,	2112.955811,	896.855164,	555.574402,	4.002488,	916.970520,	2119.501465,	903.382690,	740.481628,	821.962524,	]
[ 2178.081787,	2609.004150,	561.800659,	377.364532,	2437.079346,	2510.194336,	112.371353,	77.249931,	812.411560,	0.000000,	669.484802,	1048.163330,	2501.119629,	89.377457,	43.575146,	831.990112,	115.117897,	2541.844971,	810.675903,	714.271118,	560.934753,	2585.426270,	1049.637573,	257.460815,	813.818604,	1068.276978,	2609.004150,	1063.277710,	72.155472,	1582.468262,	]
