Q=[
[ 220.000000,	126.000000,	1.000000,	16.000000,	7.000000,	]
[ 71.000000,	43.000000,	1.000000,	6.000000,	2.000000,	]
[ 52.000000,	46.000000,	1.000000,	6.000000,	2.000000,	]
[ 64.000000,	69.000000,	1.000000,	20.000000,	2.000000,	]
[ 99.000000,	67.000000,	4.000000,	6.000000,	2.000000,	]
[ 150.000000,	91.000000,	5.000000,	8.000000,	3.000000,	]
[ 54.000000,	69.000000,	1.000000,	6.000000,	2.000000,	]
[ 52.000000,	50.000000,	1.000000,	6.000000,	2.000000,	]
[ 75.000000,	73.000000,	4.000000,	16.000000,	9.000000,	]
[ 58.000000,	69.000000,	1.000000,	10.000000,	2.000000,	]
];








D=[
[ 0.000000,	728.150269,	1627.380249,	1801.045532,	1220.888794,	462.178101,	2169.624756,	2199.841064,	1537.522949,	2178.081787,	]
[ 728.150269,	0.000000,	2049.903076,	2250.923584,	704.782959,	294.518921,	2571.170898,	2610.596436,	2119.501465,	2609.004150,	]
[ 1627.380249,	2049.903076,	0.000000,	208.546082,	1925.038940,	1948.671265,	542.395996,	574.364868,	536.863159,	561.800659,	]
[ 1801.045532,	2250.923584,	208.546082,	0.000000,	2132.908203,	2140.175537,	387.160431,	407.507904,	516.264893,	377.364532,	]
[ 1220.888794,	704.782959,	1925.038940,	2132.908203,	0.000000,	941.791321,	2370.385498,	2416.501953,	2176.712891,	2437.079346,	]
[ 462.178101,	294.518921,	1948.671265,	2140.175537,	941.791321,	0.000000,	2485.074219,	2520.786865,	1946.152466,	2510.194336,	]
[ 2169.624756,	2571.170898,	542.395996,	387.160431,	2370.385498,	2485.074219,	0.000000,	48.994251,	867.021484,	112.371353,	]
[ 2199.841064,	2610.596436,	574.364868,	407.507904,	2416.501953,	2520.786865,	48.994251,	0.000000,	870.349854,	77.249931,	]
[ 1537.522949,	2119.501465,	536.863159,	516.264893,	2176.712891,	1946.152466,	867.021484,	870.349854,	0.000000,	812.411560,	]
[ 2178.081787,	2609.004150,	561.800659,	377.364532,	2437.079346,	2510.194336,	112.371353,	77.249931,	812.411560,	0.000000,	]
];
