Q=[
[ 259.000000,	10.000000,	25.000000,	5.000000,	71.000000,	]
[ 93.000000,	3.000000,	10.000000,	1.000000,	16.000000,	]
[ 79.000000,	6.000000,	5.000000,	1.000000,	16.000000,	]
[ 131.000000,	3.000000,	5.000000,	1.000000,	16.000000,	]
[ 125.000000,	4.000000,	18.000000,	1.000000,	30.000000,	]
[ 187.000000,	9.000000,	16.000000,	1.000000,	44.000000,	]
[ 99.000000,	7.000000,	5.000000,	5.000000,	16.000000,	]
[ 83.000000,	6.000000,	5.000000,	1.000000,	16.000000,	]
[ 131.000000,	4.000000,	5.000000,	1.000000,	36.000000,	]
[ 111.000000,	3.000000,	5.000000,	1.000000,	20.000000,	]
[ 192.000000,	4.000000,	11.000000,	1.000000,	45.000000,	]
[ 114.000000,	7.000000,	21.000000,	1.000000,	19.000000,	]
[ 86.000000,	3.000000,	8.000000,	1.000000,	19.000000,	]
[ 168.000000,	15.000000,	5.000000,	5.000000,	24.000000,	]
[ 83.000000,	6.000000,	5.000000,	1.000000,	18.000000,	]
[ 162.000000,	3.000000,	14.000000,	1.000000,	67.000000,	]
[ 82.000000,	3.000000,	5.000000,	1.000000,	16.000000,	]
[ 98.000000,	4.000000,	5.000000,	1.000000,	16.000000,	]
[ 103.000000,	7.000000,	5.000000,	1.000000,	20.000000,	]
[ 122.000000,	3.000000,	5.000000,	1.000000,	16.000000,	]
];








D=[
[ 0.000000,	728.150269,	1627.380249,	1801.045532,	1220.888794,	462.178101,	2169.624756,	2199.841064,	1537.522949,	2178.081787,	1729.165405,	1299.188232,	1091.440308,	2101.436035,	2221.579346,	1398.265747,	2270.442139,	739.531799,	1530.286133,	1475.097290,	]
[ 728.150269,	0.000000,	2049.903076,	2250.923584,	704.782959,	294.518921,	2571.170898,	2610.596436,	2119.501465,	2609.004150,	2299.028809,	1586.057007,	521.355957,	2546.966553,	2650.363037,	1941.698975,	2680.442871,	96.468300,	2110.094727,	1971.913696,	]
[ 1627.380249,	2049.903076,	0.000000,	208.546082,	1925.038940,	1948.671265,	542.395996,	574.364868,	536.863159,	561.800659,	542.228638,	526.150146,	1971.056152,	497.075653,	604.269958,	412.176788,	645.248352,	1984.833862,	527.392578,	253.593918,	]
[ 1801.045532,	2250.923584,	208.546082,	0.000000,	2132.908203,	2140.175537,	387.160431,	407.507904,	516.264893,	377.364532,	446.583740,	733.001465,	2179.586182,	301.573975,	420.930237,	475.354218,	476.014709,	2187.709473,	510.433533,	341.710632,	]
[ 1220.888794,	704.782959,	1925.038940,	2132.908203,	0.000000,	941.791321,	2370.385498,	2416.501953,	2176.712891,	2437.079346,	2322.649170,	1400.433228,	187.983170,	2396.403809,	2472.818115,	1969.363647,	2480.084717,	617.946411,	2165.329834,	1940.102539,	]
[ 462.178101,	294.518921,	1948.671265,	2140.175537,	941.791321,	0.000000,	2485.074219,	2520.786865,	1946.152466,	2510.194336,	2132.978760,	1532.412109,	772.599915,	2441.061035,	2552.860596,	1785.002197,	2591.572998,	343.842346,	1937.734131,	1836.835815,	]
[ 2169.624756,	2571.170898,	542.395996,	387.160431,	2370.385498,	2485.074219,	0.000000,	48.994251,	867.021484,	112.371353,	740.963196,	995.324829,	2441.556152,	170.380157,	122.064346,	860.116150,	110.636543,	2501.017334,	863.891418,	728.508850,	]
[ 2199.841064,	2610.596436,	574.364868,	407.507904,	2416.501953,	2520.786865,	48.994251,	0.000000,	870.349854,	77.249931,	735.497131,	1038.007202,	2486.273438,	154.503647,	75.372643,	875.303711,	70.898819,	2541.240967,	867.883240,	748.991455,	]
[ 1537.522949,	2119.501465,	536.863159,	516.264893,	2176.712891,	1946.152466,	867.021484,	870.349854,	0.000000,	812.411560,	193.464188,	898.181152,	2176.718506,	723.047852,	851.160095,	212.378799,	926.959106,	2075.844971,	12.014615,	315.557465,	]
[ 2178.081787,	2609.004150,	561.800659,	377.364532,	2437.079346,	2510.194336,	112.371353,	77.249931,	812.411560,	0.000000,	669.484802,	1048.163330,	2501.119629,	89.377457,	43.575146,	831.990112,	115.117897,	2541.844971,	810.675903,	714.271118,	]
[ 1729.165405,	2299.028809,	542.228638,	446.583740,	2322.649170,	2132.978760,	740.963196,	735.497131,	193.464188,	669.484802,	0.000000,	990.857666,	2333.271973,	582.049011,	704.280151,	360.980255,	784.349426,	2252.261230,	199.545227,	394.031830,	]
[ 1299.188232,	1586.057007,	526.150146,	733.001465,	1400.433228,	1532.412109,	995.324829,	1038.007202,	898.181152,	1048.163330,	990.857666,	0.000000,	1454.243530,	1000.193420,	1086.636963,	691.967285,	1105.862427,	1511.679810,	886.221741,	598.438477,	]
[ 1091.440308,	521.355957,	1971.056152,	2179.586182,	187.983170,	772.599915,	2441.556152,	2486.273438,	2176.718506,	2501.119629,	2333.271973,	1454.243530,	0.000000,	2454.402832,	2538.644775,	1974.664673,	2552.026611,	438.490509,	2165.732422,	1961.062256,	]
[ 2101.436035,	2546.966553,	497.075653,	301.573975,	2396.403809,	2441.061035,	170.380157,	154.503647,	723.047852,	89.377457,	582.049011,	1000.193420,	2454.402832,	0.000000,	129.730286,	745.549255,	204.115662,	2481.737061,	721.298523,	632.209229,	]
[ 2221.579346,	2650.363037,	604.269958,	420.930237,	2472.818115,	2552.860596,	122.064346,	75.372643,	851.160095,	43.575146,	704.280151,	1086.636963,	2538.644775,	129.730286,	0.000000,	874.498840,	82.662682,	2582.794434,	849.708191,	757.685852,	]
[ 1398.265747,	1941.698975,	412.176788,	475.354218,	1969.363647,	1785.002197,	860.116150,	875.303711,	212.378799,	831.990112,	360.980255,	691.967285,	1974.664673,	745.549255,	874.498840,	0.000000,	940.370239,	1893.093628,	200.450653,	158.624557,	]
[ 2270.442139,	2680.442871,	645.248352,	476.014709,	2480.084717,	2591.572998,	110.636543,	70.898819,	926.959106,	115.117897,	784.349426,	1105.862427,	2552.026611,	204.115662,	82.662682,	940.370239,	0.000000,	2610.725342,	925.054443,	816.900635,	]
[ 739.531799,	96.468300,	1984.833862,	2187.709473,	617.946411,	343.842346,	2501.017334,	2541.240967,	2075.844971,	2541.844971,	2252.261230,	1511.679810,	438.490509,	2481.737061,	2582.794434,	1893.093628,	2610.725342,	0.000000,	2066.125244,	1916.464111,	]
[ 1530.286133,	2110.094727,	527.392578,	510.433533,	2165.329834,	1937.734131,	863.891418,	867.883240,	12.014615,	810.675903,	199.545227,	886.221741,	2165.732422,	721.298523,	849.708191,	200.450653,	925.054443,	2066.125244,	0.000000,	304.313751,	]
[ 1475.097290,	1971.913696,	253.593918,	341.710632,	1940.102539,	1836.835815,	728.508850,	748.991455,	315.557465,	714.271118,	394.031830,	598.438477,	1961.062256,	632.209229,	757.685852,	158.624557,	816.900635,	1916.464111,	304.313751,	0.000000,	]
];
